구 분,당기말,전기말
기금이 적립되는 확정급여채무의 현재가치,"6,416,966","5,609,870"
기금이 적립되지 않는 확정급여채무의 현재가치,"15,664","12,717"
소 계,"6,432,630","5,622,587"
사외적립자산의 공정가치,"(6,994,986)","(6,433,797)"
순확정급여(자산) 계,"(562,356)","(811,210)"
