구 분,당기,전기
(1) 금융수익:,,
이자수익,"396,089","371,106"
- 상각후원가 측정 금융자산,"396,089","371,106"
외환차이,"7,321,600","6,652,107"
파생상품관련이익,-,"365,451"
계,"7,717,689","7,388,664"
(2) 금융비용:,,
이자비용,"839,611","595,765"
- 상각후원가 측정 금융부채,"330,514","310,267"
- 기타금융부채,"509,097","285,498"
외환차이,"7,280,623","7,002,694"
파생상품관련손실,"19,554",-
계,"8,139,788","7,598,459"
