구 분,당기,전기
기초,"3,071,581","2,392,925"
사외적립자산의 이자수익,"159,655","114,480"
사외적립자산의 재측정요소,"(66,114)","(33,482)"
사용자의 기여금,"3,110,119","707,032"
급여지급액,"(135,047)","(107,539)"
기타,"(3,199)","(1,835)"
기말,"6,136,995","3,071,581"
