구분,기업명(*1),채권 등,채무 등(*2)
관계기업 및 공동기업,삼성에스디에스㈜,"23,133","569,158"
삼성전기㈜,"4,039","66,901",
삼성SDI㈜,"114,061","33,653",
㈜제일기획,69,"425,271",
기타,"156,624","197,504",
계,"297,926","1,292,487",
그 밖의특수관계자,삼성물산㈜,"181,822","1,781,431"
기타,"14,747","179,533",
계,"196,569","1,960,964",
기타(*3),삼성이앤에이㈜,475,"1,870,246"
㈜에스원,"2,330","50,798",
기타,"3,489","599,373",
계,"6,294","2,520,417",
