과 목,주 석,제 51 (당) 기,,제 50 (전) 기,
Ⅰ. 당기순이익,,,"15,353,323",,"32,815,127"
Ⅱ. 기타포괄손익,,,"(851,958)",,"(378,321)"
후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,"(851,958)",,"(378,321)"
1. 기타포괄손익-공정가치금융자산평가손익,"8, 22","73,199",,"(88,340)",
2. 순확정급여자산 재측정요소,"16, 22","(925,157)",,"(289,981)",
후속적으로 당기손익으로 재분류되는 포괄손익,,,-,,-
Ⅲ. 총포괄손익,,,"14,501,365",,"32,436,806"
