기업명,당기,,,,전기,,,
자산,부채,매출액,당기순이익,자산,부채,매출액,당기순이익,
Toshiba Samsung Storage Technology Japan,"88,989","100,917","395,211","(20,642)","234,785","160,946","183,608","(24,594)"
