감사참여자 ＼ 인원수 및 시간,,품질관리검토자(심리실 등),,감사업무 담당 회계사,,,,,,전산감사ㆍ세무ㆍ가치평가 등 전문가,,건설계약 등수주산업전문가,,합계,
담당이사(업무수행이사),,등록공인회계사,,수습공인회계사,,,,,,,,,,,
당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,,
투입 인원수,,11,3,1,1,37,37,24,19,53,66,-,-,126,126
투입시간,분ㆍ반기검토,49,14,400,234,"15,050","15,578","4,308","3,298","4,548","4,513",-,-,"24,355","23,637"
감사,121,35,396,263,"10,527","9,446","4,435","3,513","10,567","9,682",-,-,"26,046","22,939",
합계,170,49,796,497,"25,577","25,024","8,743","6,811","15,115","14,195",-,-,"50,401","46,576",
