금융자산,상각후원가측정 금융자산,기타포괄손익-공정가치 측정 금융자산,당기손익-공정가치측정 금융자산,계
평가손익(기타포괄손익),-,"93,251",-,"93,251"
평가ㆍ처분손익(당기손익),-,-,(1),(1)
이자수익,"507,947",-,-,"507,947"
외환차이(당기손익),"(542,069)",-,-,"(542,069)"
배당금수익,-,"2,160","1,343","3,503"
손상(환입),"(1,195)",-,-,"(1,195)"
