구 분,당기,전기
매도가능금융자산평가,"(493,374)","(759,931)"
유형자산의 본계정 대체,"6,510,128","15,219,072"
현금흐름 없는 물적분할대가,"218,370",-
"매도가능금융자산의 종속기업, 관계기업 및 공 동기업 투자 대체","1,734,203",-
매도가능금융자산의 매각예정분류자산 대체,-,"77,073"
"종속기업, 관계기업 및 공동기업 투자의 매각예정분류자산 대체","400,965",-
