과 목,주 석,제 52 (당) 기,,제 51 (전) 기,
Ⅰ. 매 출 액,29,,"166,311,191",,"154,772,859"
Ⅱ. 매 출 원 가,21,,"116,753,419",,"113,618,444"
Ⅲ. 매 출 총 이 익,,,"49,557,772",,"41,154,415"
판매비와관리비,"21, 22","29,038,798",,"27,039,348",
Ⅳ. 영 업 이 익,29,,"20,518,974",,"14,115,067"
기 타 수 익,23,"797,494",,"5,223,302",
기 타 비 용,23,"857,242",,"678,565",
금 융 수 익,24,"5,676,877",,"4,281,534",
금 융 비 용,24,"5,684,180",,"3,908,869",
Ⅴ. 법인세비용차감전순이익,,,"20,451,923",,"19,032,469"
법 인 세 비 용,25,"4,836,905",,"3,679,146",
Ⅵ. 당 기 순 이 익,,,"15,615,018",,"15,353,323"
Ⅶ. 주 당 이 익,26,,,,
기본주당이익(단위 : 원),,,"2,299",,"2,260"
희석주당이익(단위 : 원),,,"2,299",,"2,260"
