구 분,당기,전기
기타포괄손익-공정가치금융자산의 평가,"(285,585)","(137,815)"
유형자산의 본계정 대체,"30,539,179","36,663,946"
사용권자산의 취득(리스부채의 신규계약),"673,493","451,828"
사채의 유동성 대체,"6,228","5,810"
장기차입금의 유동성 대체,"129,525","133,518"
