구 분,당기,전기
당기순이익,"28,800,837","11,579,749"
당기순이익 중 우선주 해당분,"3,498,641","1,430,528"
÷ 가중평균유통우선주식수,"16,893","17,692"
기본 우선주 주당이익(단위: 원),"207,108","80,857"
