내 역,금액,
당기말,전기말,
임대주택 관련 채무보증(*),"7,323","8,956"
해외종속기업에 대한 채무보증(한도 기준),"US$ 8,294(원화환산액: \8,885,708)","US$ 9,434(원화환산액: \11,401,171)"
해외종속기업에 대한 채무보증(실차입금 기준),"US$ 441(원화환산액: \473,014)","US$ 1,618(원화환산액: \1,954,777)"
