구 분,당기말,전기말
기금이 적립된 확정급여채무의 현재가치,"11,959,655","10,729,126"
기금이 적립되지 않은 확정급여채무의 현재가치,"22,672","29,546"
소 계,"11,982,327","10,758,672"
사외적립자산의 공정가치,"(15,728,024)","(15,168,895)"
순확정급여부채(자산) 계,"(3,745,697)","(4,410,223)"
