구 분,토지,건물및구축물,기계장치,기타,계
기초장부금액,"2,279","510,528","39,038","178,480","730,325"
일반취득,26,"261,999","1,380","410,088","673,493"
감가상각,(439),"(128,754)","(23,276)","(19,120)","(171,589)"
계약의 해지,-,"(1,070)",-,(737),"(1,807)"
기타,-,(3),"4,993",601,"5,591"
기말장부금액,"1,866","642,700","22,135","569,312","1,236,013"
