구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스㈜,"212,376",-,"1,672,853","348,752"
삼성전기㈜,"60,343",767,"919,709",120,
삼성SDI㈜,"60,325",-,"422,836","24,874",
㈜제일기획,"31,194",-,"931,489",361,
기타,"617,779",-,"881,585","10,224",
계,"982,017",767,"4,828,472","384,331",
그 밖의특수관계자,삼성물산㈜,"44,359",-,"84,635","7,018,252"
기타,"283,122",188,"602,014","132,512",
계,"327,481",188,"686,649","7,150,764",
기타(*2),삼성엔지니어링㈜,"1,490",-,"32,677","3,106,154"
㈜에스원,"7,530",-,"428,907","45,864",
기타,"136,969",-,"251,907","540,591",
계,"145,989",-,"713,491","3,692,609",
