해외종속기업,보증처,보증종료일,당기말,
관련 차입금,채무보증한도,,,
SETK,BNP 외,2022-12-16,"121,244","956,699"
SETK-P,BNP 외,2022-12-16,"39,516","154,115"
SEIL,Citibank,2022-12-16,"12,978","18,494"
기타,기타,-,-,"8,669,206"
계,,,"173,738 (US$ 146,556천)","9,798,514(US$ 8,265,301천)"
