감사참여자 ＼ 인원수 및 시간,,품질관리검토자(심리실 등),,감사업무 담당 회계사,,,,,,전산감사ㆍ세무ㆍ가치평가 등 전문가,,건설계약 등수주산업전문가,,합계,
담당이사(업무수행이사),,등록공인회계사,,수습공인회계사,,,,,,,,,,,
당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,,
투입 인원수,,10,11,1,1,45,33,23,17,45,64,-,-,124,126
투입시간,분ㆍ반기검토,59,156,222,267,"22,096","12,787","7,149","3,072","4,801","4,327",-,-,"34,327","20,609"
감사,412,308,777,"1,004","22,142","29,004","7,145","11,145","20,233","16,076",-,-,"50,709","57,537",
합계,471,464,999,"1,271","44,238","41,791","14,294","14,217","25,034","20,403",-,-,"85,036","78,146",
