구 분,당기,전기
법인세비용차감전순이익,"21,749,578","17,531,500"
(1) 적용세율에 따른 법인세비용(*),"5,741,889","4,628,316"
(2) 조정사항:,,
세무상 과세되지 않는 수익,"(2,696,812)","(7,340,802)"
세무상 차감되지 않는 비용,"10,691","6,256"
세액공제,"(4,936,294)","(5,082,791)"
기타,"47,539","(76,578)"
소 계,"(7,574,876)","(12,493,915)"
법인세비용 계,"(1,832,987)","(7,865,599)"
