구 분,,당기,전기
배당받을 주식,보통주,"5,940,082,550주","5,969,782,550주"
우선주,"818,836,700주","822,886,700주",
배당률(액면가 기준),보통주,363%,361%
우선주,364%,362%,
배당금액,보통주,"2,156,250","2,155,092"
우선주,"298,057","297,884",
계,"2,454,307","2,452,976",
