구 분,토지,건물및구축물,기계장치,기타,계
기초장부금액,"4,575","1,295,293","8,142","532,903","1,840,913"
일반취득,193,"74,707","77,272","46,870","199,042"
감가상각,"(2,340)","(231,116)","(29,075)","(46,160)","(308,691)"
계약의 해지,(328),"(3,083)",-,(145),"(3,556)"
기타,914,-,(283),"1,805","2,436"
기말장부금액,"3,014","1,135,801","56,056","535,273","1,730,144"
