금융자산,대여금 및 수취채권,매도가능금융자산,계
현금및현금성자산,"3,062,960",-,"3,062,960"
단기금융상품,"27,763,589",-,"27,763,589"
단기매도가능금융자산,-,"3,021,210","3,021,210"
매출채권,"20,251,464",-,"20,251,464"
장기매도가능금융자산,-,"3,205,283","3,205,283"
기타,"3,847,347",-,"3,847,347"
계,"54,925,360","6,226,493","61,151,853"
