회 사 명,당기,,,,전기,,,
자산,부채,매출액,당기순이익,자산,부채,매출액,당기순이익,
Toshiba Samsung Storage Technology Japan,"234,785","160,946","183,608","(24,594)","169,322","155,747","836,442","(41,875)"
