구 분,당기,전기
기초잔액,"31,393","149,520"
공정가치평가,"101,449","(119,800)"
처분으로 인한 이익잉여금 대체,"1,288","1,673"
기말잔액,"134,130","31,393"
자본에 가감되는 법인세효과,"(36,886)","(8,633)"
계,"97,244","22,760"
