금융자산,상각후원가측정 금융자산,기타포괄손익-공정가치 측정 금융자산,당기손익-공정가치측정 금융자산,계
평가손익(기타포괄손익),-,"(88,340)",-,"(88,340)"
평가/처분손익(당기손익),-,-,"57,545","57,545"
이자수익,"736,731",-,-,"736,731"
외환차이(당기손익),"(222,067)",-,-,"(222,067)"
배당금수익,-,"2,283",-,"2,283"
손상/환입(당기손익),"56,776",-,-,"56,776"
