구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스,"22,933",-,"1,682,403","173,357"
삼성전기,"22,631",110,"1,015,965",-,
삼성카드,"7,634",-,"16,973","170,739",
기타,"248,741","11,080","439,192","52,305",
관계기업 및 공동기업 계,"301,939","11,190","3,154,533","396,401",
그 밖의특수관계자,삼성물산(*),"6,308",-,"98,227","374,046"
삼성SDI,"35,911","324,246","496,217","345,835",
기타,"112,803",-,"286,599",-,
그 밖의 특수관계자 계,"155,022","324,246","881,043","719,881",
