구 분,판매보증 (가),기술사용료 (나),장기성과급 (다),"기타(라),(마)",계
기초,"587,665","1,546,606","549,181","2,799,204","5,482,656"
순전입(환입),"815,216","573,194","348,381","2,052,943","3,789,734"
사용,"(728,930)","(299,250)","(183,843)","(1,111,233)","(2,323,256)"
기타,-,"(4,612)",-,"9,313","4,701"
기말,"673,951","1,815,938","713,719","3,750,227","6,953,835"
