구 분,당기말,전기말
기금이 적립되는 확정급여채무의 현재가치,"5,687,413","6,113,042"
기금이 적립되지 않는 확정급여채무의 현재가치,"9,247","10,734"
소 계,"5,696,660","6,123,776"
사외적립자산의 공정가치,"(6,253,751)","(6,179,950)"
순확정급여(자산) 계,"(557,091)","(56,174)"
