구 분,기초,재무현금흐름,비현금흐름,,기말
리스신규계약,기타(*),,,,
단기차입금,"9,204,268","(6,700,826)",-,"(121,930)","2,381,512"
사채 및 장기차입금,"600,291","(155,264)","673,493","(302,876)","815,644"
계,"9,804,559","(6,856,090)","673,493","(424,806)","3,197,156"
