과 목,주석,제 47 (당) 기,,제 46 (전) 기,
Ⅰ. 영업활동 현금흐름,,,"19,287,521",,"18,653,817"
1. 영업에서 창출된 현금흐름,,"19,756,969",,"20,854,601",
가. 당기순이익,,"12,238,469",,"14,591,781",
나. 조정,31,"13,087,462",,"10,894,724",
다. 영업활동으로 인한 자산부채의 변동,31,"(5,568,962)",,"(4,631,904)",
2. 이자의 수취,,"890,456",,"854,946",
3. 이자의 지급,,"(153,195)",,"(91,827)",
4. 배당금 수입,,"1,914,856",,"1,505,107",
5. 법인세 납부액,,"(3,121,565)",,"(4,469,010)",
Ⅱ. 투자활동 현금흐름,,,"(14,003,962)",,"(15,951,220)"
1. 단기금융상품의 순(증가)감소,,"(2,309,495)",,"2,709,251",
2. 단기매도가능금융자산의 처분,,"2,143,384",,"1,954,156",
3. 단기매도가능금융자산의 취득,,-,,"(1,518,343)",
4. 장기금융상품의 처분,,"1,700,000",,-,
5. 장기금융상품의 취득,,-,,"(2,400,000)",
6. 장기매도가능금융자산의 처분,,"78,885",,"18,729",
7. 장기매도가능금융자산의 취득,,"(17,303)",,"(3,673,800)",
"8. 종속기업, 관계기업 및 공동기업 투자의 처분",,"311,310",,"21,411",
"9. 종속기업, 관계기업 및 공동기업 투자의 취득",,"(2,334,935)",,"(1,236,303)",
10. 유형자산의 처분,,"473,836",,"195,588",
11. 유형자산의 취득,,"(12,887,965)",,"(10,867,797)",
12. 무형자산의 처분,,990,,"5,176",
13. 무형자산의 취득,,"(1,365,674)",,"(1,254,109)",
14. 현금의 기타유입,,"203,005",,"94,821",
Ⅲ. 재무활동 현금흐름,,,"(3,854,887)",,"(3,089,586)"
1. 단기차입금의 순증가,,"4,236,095",,"170,576",
2. 자기주식의 취득,,"(5,015,112)",,"(1,125,322)",
3. 자기주식의 처분,,"3,034",,"27,582",
4. 사채의 상환,,"(5,496)",,"(5,274)",
5. 배당금의 지급,,"(3,073,408)",,"(2,157,148)",
Ⅳ. 외화환산으로 인한 현금의 변동,,,"(9,030)",,-
Ⅴ. 현금및현금성자산의 증가(감소) (Ⅰ+Ⅱ+Ⅲ),,,"1,419,642",,"(386,989)"
Ⅵ. 기초의 현금및현금성자산,,,"1,643,318",,"2,030,307"
Ⅶ. 기말의 현금및현금성자산,,,"3,062,960",,"1,643,318"
