구분,삼성카드(*),삼성전기,삼성에스디에스
유동자산,"17,736,627","3,553,987","3,228,074"
비유동자산,"4,164,625","2,317,971",
유동부채,"11,346,281","2,151,002","1,117,969"
비유동부채,"924,814","214,051",
순자산,"6,390,346","4,642,796","4,214,025"
