구 분,당기,전기
기초장부가액,"41,857,431","42,258,049"
취득,"2,334,935","1,236,303"
처분,"(68,994)","(48,869)"
손상,"(15,974)","(82,616)"
기타변동액(*),-,"(1,505,436)"
기말장부가액,"44,107,398","41,857,431"
