구 분,장부가액,전기말,,,
Level 1,Level 2,Level 3,합계,,
(1) 자 산,,,,,
기타,"3,935,422",-,"3,920,749",-,"3,920,749"
(2) 부 채,,,,,
사채,"66,079",-,"84,815",-,"84,815"
장기미지급금,"769,002",-,"835,869",-,"835,869"
