구 분,당기말,,,전기말,
주식수(주),시장가치,장부금액,시장가치,장부금액,
삼성전기㈜,"17,693,084","2,710,580","445,244","2,308,947","445,244"
삼성에스디에스㈜,"17,472,110","2,970,259","560,827","2,149,070","560,827"
삼성바이오로직스㈜,"22,217,309","16,885,155","1,595,892","18,240,411","1,595,892"
삼성SDI㈜,"13,462,673","6,354,382","1,242,605","7,956,440","1,242,605"
㈜제일기획,"29,038,075","552,595","491,599","669,328","491,599"
