해외종속기업,보증처,보증종료일,당기말,
관련 차입금,채무보증한도,,,
SETK,BNP 외,2024-12-16,"413,744","1,182,380"
SEMAG,SocGen 외,2024-12-16,"10,399","123,782"
기타,기타,-,-,"9,176,026"
계,,,"424,143(US$ 328,958천)","10,482,188(US$ 8,129,508천)"
