감사참여자 ＼ 인원수 및 시간,,품질관리검토자(심리실 등),,감사업무 담당 회계사,,,,,,전산감사ㆍ세무ㆍ가치평가 등 전문가,,건설계약 등수주산업전문가,,합계,
담당이사(업무수행이사),,등록공인회계사,,수습공인회계사,,,,,,,,,,,
당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,,
투입 인원수,,11,10,1,1,33,38,17,17,64,65,-,-,126,131
투입시간,분ㆍ반기검토,156,99,267,307,"12,787","15,802","3,072","2,830","4,327","3,337",-,-,"20,609","22,375"
감사,308,412,"1,004","1,025","29,004","26,093","11,145","8,943","16,076","18,151",-,-,"57,537","54,624",
합계,464,511,"1,271","1,332","41,791","41,895","14,217","11,773","20,403","21,488",-,-,"78,146","76,999",
