금융자산,상각후원가측정 금융자산,기타포괄손익-공정가치 측정 금융자산,당기손익-공정가치측정 금융자산,계
현금및현금성자산,"1,653,766",-,-,"1,653,766"
단기금융상품,"10,187,991",-,-,"10,187,991"
매출채권,"33,840,357",-,-,"33,840,357"
기타포괄손익-공정가치금융자산,-,"2,176,346",-,"2,176,346"
기타,"5,265,647",-,"373,681","5,639,328"
계,"50,947,761","2,176,346","373,681","53,497,788"
