구 분,토지,건물및구축물,기계장치,기타,계
기초장부금액,"1,866","642,700","22,135","569,312","1,236,013"
일반취득,"3,712","863,062","1,728","4,554","873,056"
감가상각,"(1,003)","(189,855)","(16,057)","(40,749)","(247,664)"
계약의 해지,-,"(20,500)",-,(234),"(20,734)"
기타,-,(114),336,20,242
기말장부금액,"4,575","1,295,293","8,142","532,903","1,840,913"
