과 목,주석,제 48 (당) 기,,제 47 (전) 기,
Ⅰ. 매 출 액,,,"133,947,204",,"135,205,045"
Ⅱ. 매 출 원 가,24,,"97,290,644",,"99,659,336"
Ⅲ. 매 출 총 이 익,,,"36,656,560",,"35,545,709"
판매비와관리비,"24, 25","23,009,124",,"22,147,494",
Ⅳ. 영 업 이 익,,,"13,647,436",,"13,398,215"
기 타 수 익,26,"2,185,600",,"1,543,190",
기 타 비 용,26,"1,289,594",,"792,058",
금 융 수 익,27,"5,803,751",,"4,917,385",
금 융 비 용,27,"5,622,119",,"4,714,115",
Ⅴ. 법인세비용차감전순이익,,,"14,725,074",,"14,352,617"
법 인 세 비 용,28,"3,145,325",,"2,114,148",
Ⅵ. 당 기 순 이 익,,,"11,579,749",,"12,238,469"
Ⅶ. 주 당 이 익,29,,,,
기본주당이익(단위:원),,,"81,602",,"82,682"
희석주당이익(단위:원),,,"81,602",,"82,680"
