구 분,당기,,전기,
매출채권,미수금,매출채권,미수금,
기초,"(197,296)","(19,906)","(195,902)","(7,519)"
대손상각비(환입),740,"10,552","(3,212)","(12,603)"
제각,83,39,"1,818",217
기타,488,2,-,(1)
기말,"(195,985)","(9,313)","(197,296)","(19,906)"
