구 분,공정가치,가치평가기법,Level 3 투입변수,투입변수 범위(가중평균)
말타니(구 태원전기 산업),"16,270",현금흐름할인법,영구성장률,-1.00%~1.00%(0%)
가중평균자본비용,7.45%~9.45%(8.45%),,,
삼성벤처투자,"7,515",현금흐름할인법,영구성장률,-1.00%~1.00%(0%)
가중평균자본비용,21.31%~23.31%(22.31%),,,
