기업명,당기,,,,전기,,,
자산,부채,매출액,당기순손실,자산,부채,매출액,당기순손실,
Toshiba Samsung Storage Technology Japan,"50,004","88,617","117,125","(29,927)","88,989","100,917","395,211","(20,642)"
