과 목,주석,제 46 (당) 기,,제 45 (전) 기,
Ⅰ. 매 출 액,,,"137,825,547",,"158,372,089"
Ⅱ. 매 출 원 가,25,,"99,188,713",,"110,731,528"
Ⅲ. 매 출 총 이 익,,,"38,636,834",,"47,640,561"
판매비와관리비,"25, 26","24,711,840",,"25,833,556",
Ⅳ. 영 업 이 익,,,"13,924,994",,"21,807,005"
기 타 수 익,27,"3,507,303",,"3,130,308",
기 타 비 용,27,"706,929",,"792,210",
금 융 수 익,28,"4,289,118",,"3,918,900",
금 융 비 용,28,"3,733,845",,"3,846,744",
Ⅴ. 법인세비용차감전순이익,,,"17,280,641",,"24,217,259"
법 인 세 비 용,29,"2,688,860",,"6,287,739",
Ⅵ. 당 기 순 이 익,,,"14,591,781",,"17,929,520"
Ⅶ. 주 당 이 익,30,,,,
기본주당이익(단위:원),,,"96,784",,"118,946"
희석주당이익(단위:원),,,"96,779",,"118,921"
