구 분,판매보증 (가),기술사용료 (나),장기성과급 (다),"기타(라),(마)",계
기초,"190,995","1,134,379","580,816","601,341","2,507,531"
순전입액(환입액),"314,757","403,243","198,935","471,973","1,388,908"
사용액,"(260,386)","(529,013)","(214,525)","(544,396)","(1,548,320)"
기타,-,"6,671","1,790","(31,033)","(22,572)"
기말,"245,366","1,015,280","567,016","497,885","2,325,547"
