감사참여자 ＼ 인원수 및 시간,,품질관리검토자(심리실 등),,감사업무 담당 회계사,,,,,,전산감사ㆍ세무ㆍ가치평가 등 전문가,,건설계약 등수주산업전문가,,합계,
담당이사(업무수행이사),,등록공인회계사,,수습공인회계사,,,,,,,,,,,
당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,,
투입 인원수,,16,17,1,1,52,26,23,18,83,74,-,-,175,136
투입시간,분ㆍ반기검토,156,32,198,612,"22,167","14,976","4,024","4,194","5,604","4,287",-,-,"32,149","24,101"
감사,"1,262",154,"1,084",676,"25,024","18,643","5,018","5,235","21,591","18,830",-,-,"53,979","43,538",
합계,"1,418",186,"1,282","1,288","47,191","33,619","9,042","9,429","27,195","23,117",-,-,"86,128","67,639",
