구 분,당기말,전기말
기타포괄손익-공정가치금융자산평가손익,"488,102","246,155"
순확정급여부채(자산) 재측정요소,"(3,075,801)","(2,483,547)"
자기주식,"(1,811,775)",-
기타,"1,760,408","1,760,408"
계,"(2,639,066)","(476,984)"
