구분,삼성전기,삼성에스디에스,삼성바이오로직스,삼성SDI,제일기획
유동자산,"3,525,293","5,881,776","1,577,684","5,519,342","1,889,015"
비유동자산,"5,119,621","2,132,073","4,402,725","13,830,379","378,586"
유동부채,"2,509,584","1,574,797","710,530","4,012,822","1,251,332"
비유동부채,"1,188,833","290,501","1,114,410","3,111,680","123,476"
순자산,"4,946,497","6,148,551","4,155,469","12,225,219","892,793"
