과 목,제 56 (당) 기,,제 55 (전) 기,
Ⅰ. 미처분이익잉여금,,"16,223,971",,"18,028,341"
1. 전기이월이익잉여금,30,,30,
"2. 분기배당 주당배당금(률) 제56기 - 1,083원(1083%) 제55기 - 1,083원(1083%)","(7,356,461)",,"(7,356,461)",
3. 당기순이익,"23,582,565",,"25,397,099",
4. 기타포괄손익-공정가치금융자산 처분,"(2,163)",,"(12,327)",
Ⅱ. 임의적립금 등의 이입액,,-,,-
Ⅲ. 이익잉여금처분액,,"16,223,941",,"18,028,311"
1. 배당금 주당배당금(률) 제56기 - 보통주: 363원(363%) 우선주: 364원(364%) 제55기 - 보통주: 361원(361%) 우선주: 362원(362%),"2,454,307",,"2,452,976",
2. 연구및인력개발준비금,"13,769,634",,"15,575,335",
Ⅳ. 차기이월미처분이익잉여금,,30,,30
