금융자산,상각후원가측정 금융자산,기타포괄손익-공정가치 측정 금융자산,당기손익-공정가치측정 금융자산,계
현금및현금성자산,"2,081,917",-,-,"2,081,917"
단기금융상품,"26,501,392",-,-,"26,501,392"
매출채권,"26,255,438",-,-,"26,255,438"
기타포괄손익-공정가치금융자산,-,"1,206,080",-,"1,206,080"
당기손익-공정가치금융자산,-,-,"3,181","3,181"
기타,"4,307,370",-,-,"4,307,370"
계,"59,146,117","1,206,080","3,181","60,355,378"
