구 분,토지,건물및구축물,기계장치,기타,계
기초장부금액,"2,703","177,324","117,522","208,852","506,401"
일반취득,103,"46,476","6,414","8,796","61,789"
감가상각,(472),"(77,761)","(46,849)","(11,233)","(136,315)"
계약의 해지,-,"(1,424)","(6,510)","(17,919)","(25,853)"
기타,259,-,(148),(260),(149)
기말장부금액,"2,593","144,615","70,429","188,236","405,873"
