구 분,당기,전기
기초,"15,728,024","15,168,895"
사외적립자산의 이자수익,"858,360","888,609"
사외적립자산의 재측정요소,"(141,532)","(494,687)"
사용자의 기여금,-,"694,100"
급여지급액,"(1,021,978)","(537,855)"
기타,"4,620","8,962"
기말,"15,427,494","15,728,024"
