구 분,당기,전기
매도가능금융자산평가,"(514,077)","840,908"
유형자산의 본계정 대체,"7,283,986","7,616,595"
사채의 유동성 대체,"5,304","5,083"
"종속기업, 관계기업 및 공동기업 투자 매도가능금융자산으로 재분류","1,218,610",-
매도가능금융자산 매각예정분류자산으로 대체,"100,051",-
"종속기업, 관계기업 및 공동기업 투자 매각예정분류자산으로 대체","289,507",-
