금융부채,상각후원가측정 금융부채,기타금융부채(*),계
매입채무,"10,287,967",-,"10,287,967"
단기차입금,-,"11,110,972","11,110,972"
미지급금,"18,331,728",-,"18,331,728"
유동성장기부채,"21,997,265","266,961","22,264,226"
사채,"14,530",-,"14,530"
장기차입금,-,"795,703","795,703"
장기미지급금,"4,383,749",-,"4,383,749"
기타,"4,893,869",-,"4,893,869"
계,"59,909,108","12,173,636","72,082,744"
