구 분,공정가치,가치평가기법,Level 3 투입변수,투입변수 범위(가중평균)
태원전기산업,"17,094",현금흐름할인법,영구성장률,-1.00%~1.00%(0%)
가중평균자본비용,7.76%~9.76%(8.76%),,,
삼성벤처투자,"6,586",현금흐름할인법,영구성장률,-1.00%~1.00%(0%)
가중평균자본비용,7.74%~9.74%(8.74%),,,
삼성종합화학,"100,051",현금흐름할인법,영구성장률,-1.00%~1.00%(0%)
가중평균자본비용,10.48%~12.48%(11.48%),,,
