구 분,당기말,전기말
기금이 적립되는 확정급여채무의 현재가치,"5,980,071","4,552,971"
기금이 적립되지 않는 확정급여채무의 현재가치,"20,973","18,832"
소 계,"6,001,044","4,571,803"
사외적립자산의 공정가치,"(6,136,995)","(3,071,581)"
순확정급여부채(자산) 계,"(135,951)","1,500,222"
