구분,삼성카드(*),삼성전기,삼성SDI,삼성에스디에스,삼성테크윈
유동자산,"16,560,926","2,650,765","2,063,192","2,928,998","1,561,706"
비유동자산,"4,534,578","8,492,479","2,371,102","1,872,518",
유동부채,"10,358,265","1,787,432","1,526,957","1,219,484","1,169,253"
비유동부채,"1,139,884","1,486,297","197,222","560,191",
순자산,"6,202,661","4,258,027","7,542,417","3,883,394","1,704,780"
