구분,기업명(*1),채권 등,채무 등
종속기업,Samsung Electronics Taiwan(SET),"249,588","30,651"
Samsung Electronics HCMC CE Complex(SEHC),"119,320","173,261",
Samsung Electronics Hungarian(SEH),"21,454",194,
Samsung Electronics GmbH(SEG),"678,964","6,237",
Samsung Display Dongguan(SDD),"34,823",-,
Samsung Electronics (UK)(SEUK),"130,999","27,646",
기타,"6,042,123","2,011,144",
종속기업 계(*2),"22,336,179","7,378,178",
관계기업 및공동기업,삼성에스디에스,"5,484","326,518"
삼성전기,642,"52,589",
삼성SDI(*3),"89,491","27,005",
제일기획(*4),36,"433,914",
기타,"80,716","82,520",
관계기업 및 공동기업 계,"176,369","922,546",
그 밖의특수관계자,삼성물산,"207,463","268,839"
기타,"21,488","1,582,645",
그 밖의 특수관계자 계,"228,951","1,851,484",
기타(*5),삼성엔지니어링,"10,611","99,802"
에스원,"2,949","35,153",
기타,"1,924","23,095",
기타 계,"15,484","158,050",
