구 분,발행일,만기상환일,연이자율(%),금 액,
당기말,당기말,전기말,,,
US$ denominated Straight Bonds(*),1997.10.02,2027.10.01,7.7,"38,080(US$ 35,000천)","46,312(US$ 40,000천)"
사채할인발행차금,,,,(853),"(1,146)"
계,,,,"37,227","45,166"
차감: 유동성사채,,,,"(5,318)","(5,646)"
비유동성사채,,,,"31,909","39,520"
