금융자산,당기,전기
기초,"22,921","23,785"
매도,"(8,391)",-
평가(당기손익),"(1,361)",-
평가(기타포괄손익),"(7,595)",(864)
기타(*),"77,684",-
기말,"83,258","22,921"
