구 분,당기말,,전기말,
장부금액,공정가치,장부금액,공정가치,
금융자산:,,,,
현금및현금성자산,"3,921,593",(*1),"3,918,872",(*1)
단기금융상품,137,(*1),"15,000,576",(*1)
매출채권,"20,503,223",(*1),"33,088,247",(*1)
기타포괄손익-공정가치금융자산,"1,364,325","1,364,325","1,662,532","1,662,532"
당기손익-공정가치금융자산,283,283,"2,135","2,135"
기타,"5,470,355",(*1),"5,076,418",(*1)
계,"31,259,916",,"58,748,780",
금융부채:,,,,
매입채무,"8,729,315",(*1),"11,557,441",(*1)
단기차입금,"2,381,512",(*1),"9,204,268",(*1)
미지급금,"18,324,604",(*1),"12,948,960",(*1)
유동성장기부채,"135,753","6,580","139,328","6,276"
- 유동성장기차입금,"129,525",(*2),"133,518",(*2)
- 유동성사채,"6,228","6,580","5,810","6,276"
사채,"24,912","27,845","29,048","35,863"
장기차입금,"654,979",(*2),"431,915",(*2)
장기미지급금,"2,083,790",(*1),"2,335,218",(*1)
기타,"3,145,473",(*1),"3,056,156",(*1)
계,"35,480,338",,"39,702,334",
