금융자산,당기,전기
기초,"84,536","83,258"
매입,"39,239","6,701"
매도,(74),"(3,105)"
평가(당기손익),-,"(1,458)"
평가(기타포괄손익),"6,541",733
기타,-,"(1,593)"
기말,"130,242","84,536"
