구분,기업명(*1),채권 등,채무 등(*2)
관계기업 및 공동기업,삼성에스디에스㈜,"36,752","493,346"
삼성전기㈜,310,"71,041",
삼성SDI㈜,"107,201","58,274",
㈜제일기획,76,"393,348",
기타,"103,652","161,686",
관계기업 및 공동기업 계,"247,991","1,177,695",
그 밖의특수관계자,삼성물산㈜,"212,894","2,300,740"
기타,"16,065","111,425",
그 밖의 특수관계자 계,"228,959","2,412,165",
기타(*3),삼성엔지니어링㈜,441,"523,140"
㈜에스원,"1,619","32,165",
기타,"3,133","20,697",
기타 계,"5,193","576,002",
