과 목,주석,제 46 (당) 기,,제 45 (전) 기,
Ⅰ. 당기순이익,,,"14,591,781",,"17,929,520"
Ⅱ. 기타포괄손익,,,"(1,026,468)",,"(269,819)"
후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,"(572,373)",,"(165,832)"
1. 순확정급여부채 재측정요소,"17, 23","(572,373)",,"(165,832)",
후속적으로 당기손익으로 재분류되는 포괄손익,,,"(454,095)",,"(103,987)"
1. 매도가능금융자산평가손익,"9, 23","(454,095)",,"(103,987)",
Ⅲ. 총포괄이익,,,"13,565,313",,"17,659,701"
