금융자산,당기,전기
기초,"490,403","116,726"
매입,-,"27,784"
매도,"(2,942)",(343)
당기손익으로 인식된 손익,"(19,555)","365,451"
기타포괄손익으로 인식된 손익,"9,941","(19,215)"
기말,"477,847","490,403"
